2023-06-25:13:32:35,592 INFO     [main.py:281] 1 change detected
2023-06-25:13:39:10,561 INFO     [main.py:281] 1 change detected
2023-06-25:13:40:14,529 INFO     [main.py:281] 1 change detected
2023-06-25:13:40:27,50 INFO     [main.py:281] 1 change detected
2023-06-25:13:40:52,167 INFO     [main.py:281] 1 change detected
2023-06-25:13:40:54,376 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:06,680 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:09,869 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:11,645 INFO     [main.py:281] 2 changes detected
2023-06-25:13:41:20,796 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:23,564 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:24,577 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:28,981 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:32,170 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:35,370 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:35,872 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:36,381 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:36,948 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:41,600 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:42,813 INFO     [main.py:281] 409 changes detected
2023-06-25:13:41:50,20 WARNING  [logger.py:40] BOT SHUTDOWN
2023-06-25:13:41:50,67 ERROR    [base_events.py:1744] Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0000025E1A3CB3D0>
2023-06-25:13:41:50,508 INFO     [main.py:281] 3 changes detected
2023-06-25:13:41:55,649 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:58,498 INFO     [main.py:281] 1 change detected
2023-06-25:13:41:59,884 INFO     [main.py:281] 1 change detected
2023-06-25:13:42:03,645 INFO     [main.py:281] 1 change detected
2023-06-27:13:55:24,419 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:13:55:24,426 INFO     [logger.py:35] Product 8383 is added to database
2023-06-27:13:55:24,430 WARNING  [logger.py:40] Product 8383 is deleted
2023-06-27:13:55:24,433 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:13:55:24,453 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:13:55:24,461 INFO     [logger.py:35] User 9090 is added to database
2023-06-27:13:55:24,465 WARNING  [logger.py:40] User 9090 is deleted from database
2023-06-27:13:55:24,467 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:13:55:24,479 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:13:55:24,484 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:13:55:24,487 INFO     [logger.py:35] Product 845 is retrieved from database
2023-06-27:13:55:24,489 WARNING  [logger.py:40] Product -1919191919 is not in database
2023-06-27:13:55:24,492 WARNING  [logger.py:40] Product 845 is deleted
